snapshot,balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
150000,ge10,P2PK,inactive,11,11,38053000000,11,11,38053000000,0.00
150000,ge10,P2PK,never_spent,43406,43420,218267082525983,43405,43419,218262082525983,4.82
150000,ge10,P2PKH,active,6473,136448,84912052213525,6473,136448,84912052213525,26.20
150000,ge10,P2PKH,all,24915,272992,516590832324908,6531,136802,92671602239585,52.41
150000,ge10,P2PKH,inactive,57,353,7755650026060,57,353,7755650026060,0.07
150000,ge10,P2PKH,never_spent,18385,136191,423923130085323,1,1,3900000000,26.15
150000,ge100,All,active,1021,32907,68643462879442,1021,32907,68643462879442,6.32
150000,ge100,All,all,5014,53111,458343523472183,1115,33208,77908006865433,10.19
150000,ge100,All,inactive,30,223,7661374026060,30,223,7661374026060,0.04
150000,ge100,All,never_spent,3963,19981,382038686566681,64,78,1603169959931,3.83
150000,ge100,P2PK,active,1,4,19186950000,1,4,19186950000,0.00
150000,ge100,P2PK,all,65,82,1622356909931,65,82,1622356909931,0.01
150000,ge100,P2PK,never_spent,64,78,1603169959931,64,78,1603169959931,0.01
150000,ge100,P2PKH,active,1020,32903,68624275929442,1020,32903,68624275929442,6.32
150000,ge100,P2PKH,all,4949,53029,456721166562252,1050,33126,76285649955502,10.18
150000,ge100,P2PKH,inactive,30,223,7661374026060,30,223,7661374026060,0.04
150000,ge100,P2PKH,never_spent,3899,19903,380435516606750,0,0,0,3.82
150000,ge1000,All,active,116,1676,46641723465058,116,1676,46641723465058,0.32
150000,ge1000,All,all,648,4538,358435127112760,126,1733,54010070465058,0.87
150000,ge1000,All,inactive,9,56,7045030000000,9,56,7045030000000,0.01
150000,ge1000,All,never_spent,523,2806,304748373647702,1,1,323317000000,0.54
150000,ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
150000,ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
150000,ge1000,P2PKH,active,116,1676,46641723465058,116,1676,46641723465058,0.32
150000,ge1000,P2PKH,all,647,4537,358111810112760,125,1732,53686753465058,0.87
150000,ge1000,P2PKH,inactive,9,56,7045030000000,9,56,7045030000000,0.01
150000,ge1000,P2PKH,never_spent,522,2805,304425056647702,0,0,0,0.54
200000,all,All,active,164293,666877,199433931029271,164292,665830,199172631188800,128.02
200000,all,All,all,879762,2317527,1000003998361183,218154,898179,444033119737061,441.51
200000,all,All,inactive,12297,189876,36507674793248,12297,189876,36507674793248,36.45
200000,all,All,never_spent,703172,1460774,764062392538664,41565,42473,208352813755013,277.04
200000,all,Other,active,1,1047,261299840471,0,0,0,0.18
200000,all,Other,all,3,1050,261311340471,2,3,11500000,0.18
200000,all,Other,never_spent,2,3,11500000,2,3,11500000,0.00
200000,all,P2PK,active,7,16,85052869524,7,16,85052869524,0.00
200000,all,P2PK,all,41550,42388,208485437714854,41550,42387,208480437714854,4.71
200000,all,P2PK,inactive,17,17,48141000000,17,17,48141000000,0.00
200000,all,P2PK,never_spent,41526,42355,208352243845330,41526,42354,208347243845330,4.70
200000,all,P2PKH,active,164278,665799,199085796734784,164278,665799,199085796734784,127.83
